Ward_name,Price,Schools_number,Crimes_number
Parsons Green and Walham,1288258,3,1477
Parsloes,245967,2,755
Palmers Green,456504,3,1526
Palace Riverside,1217825,4,696
Oval,776322,10,3067
Osterley and Spring Grove,435004,2,1707
Orpington,398120,6,1676
Old Malden,461183,3,513
Oakleigh,593138,5,1114
Notting Dale,789114,0,1433
Norwood Green,464416,9,1932
Northwood Hills,490380,8,904
Northwood,761453,10,762
Northwick Park,544762,3,1150
Northumberland Park,268893,13,3222
Northumberland Heath,311903,4,778
Northolt West End,291891,7,1912
Northolt Mandeville,335278,4,1654
Northfield,666598,3,3642
Northcote,947178,9,2584
North Richmond,763330,3,992
North Greenford,372229,5,866
North End,252555,6,1505
Norland,3191496,9,719
Norbiton,431150,3,1049
Nonsuch,457136,3,788
Noel Park,438316,3,4003
Nightingale,814664,6,1520
Newington,468398,3,1219
Newbury,339579,5,1167
New Cross,368821,4,2692
Muswell Hill,874457,1,1300
Munster,987567,4,806
Mottingham and Chislehurst North,325343,6,1229
Mortlake and Barnes Common,858377,3,868
Monkhams,610104,7,705
Mill Hill,667262,15,1847
Mile End,403554,0,2849
Mildmay,706771,4,1427
Middle Park and Sutcliffe,462704,10,1183
Merton Park,632724,6,859
Mayfield,373610,6,1231
Mayesbrook,247958,4,1039
Mawneys,293445,3,1052
Marylebone High Street,2318674,11,2775
Marlborough,379540,2,1273
Markhouse,420356,7,2049
Mapesbury,643796,2,1878
Manor Park,307797,6,1618
Manor,439291,4,996
Maida Vale,892858,5,839
Loxford,270426,3,2144
Lower Morden,375481,3,420
Lower Edmonton,286409,5,1736
Longthornton,349970,2,765
Longlands,350920,3,431
Longbridge,357157,5,4227
London Fields,767740,0,2135
Little Venice,1327181,4,1298
Little Ilford,259351,5,1546
Limehouse,607004,4,937
Leytonstone,400820,3,1763
Leyton,374804,5,1962
Lewisham Central,340517,6,2661
Lee Green,488460,6,1413
Lea Bridge,539621,4,2281
Lavender Fields,312466,2,884
Latchmere,527693,6,1883
Larkswood,375027,4,963
Larkhall,612644,3,2349
Lansbury,351705,0,2461
Lancaster Gate,1133295,3,3018
Ladywell,482958,2,1331
Lady Margaret,352429,2,893
Knightsbridge and Belgravia,4168373,3,1866
Knight's Hill,464938,4,1532
King's Park,511908,5,1288
King's Cross,576929,1,2892
Kilburn,599224,11,2044
Kilburn,599224,11,4420
Kidbrooke with Hornfair,344203,4,1390
Kew,923739,7,1010
Kenton West,508673,2,573
Kenton East,408548,4,665
Kenton,530998,5,911
Kentish Town,815568,7,2097
Kensal Green,664368,4,2124
Kenley,429128,7,453
Kelsey and Eden Park,526971,6,1589
Junction,580392,7,2544
Jubilee,298257,7,1390
Isleworth,392220,5,1136
Island Gardens,472388,0,1034
Ickenham,613507,4,594
Hylands,348224,5,1022
Hyde Park,1191938,2,4331
Hoxton West,762933,0,2074
Hoxton East and Shoreditch,680749,0,4899
Hounslow West,316623,5,1785
Hounslow South,436413,2,652
Hounslow Heath,304805,5,1609
Hounslow Central,316145,5,1299
Hornsey,540109,8,1752
Homerton,497296,0,2523
Holloway,540948,2,2069
Holland,1945931,2,1021
Holborn and Covent Garden,959145,5,6866
Hoe Street,453926,2,1829
Hobbayne,471537,6,1124
Hillside,858262,8,1077
Hillrise,580581,4,1293
Hillingdon East,353540,7,979
Highlands,437548,3,851
Highgate,1262835,11,1144
Highgate,1262835,11,2379
Highbury West,702916,4,2598
Highbury East,850683,5,1289
Higham Hill,359648,8,1544
High Street,409196,5,3049
High Barnet,543839,8,1406
Heston West,314825,2,1543
Heston East,345223,6,1322
Heston Central,359304,4,1187
Herne Hill,578810,4,1972
Hendon,546664,15,1881
Heaton,275619,5,1476
Heathrow Villages,270699,4,2153
Heathfield,314732,14,730
Heath,254449,7,2382
Headstone South,415347,1,786
Headstone North,501187,5,695
Hayes and Coney Hall,499601,9,958
Haverstock,766830,4,1721
Havering Park,308667,6,931
Hatch Lane,381193,6,903
Hatch End,585356,4,625
Haselbury,300857,8,1589
Harrow on the Hill,458353,8,1148
Harrow Weald,517217,2,771
Harrow Road,619328,2,1475
Harringay,539329,3,1874
Harold Wood,317229,2,1117
Harlesden,403956,6,3173
Harefield,398221,3,637
Hanworth Park,297039,8,1541
Hanworth,294083,4,1305
Hanger Hill,616115,7,1247
Hampton Wick,750780,5,798
Hampton North,474372,10,752
Hampton,617539,10,659
Hampstead Town,1670941,19,1378
Hammersmith Broadway,789742,7,3896
Hale End and Highams Park,445474,6,1049
Hale,528963,9,1323
Hainault,306605,4,1296
Haggerston,497729,6,1847
Hacton,338308,5,662
Hackney Wick,500583,0,1824
Hackney Downs,530493,7,1754
Hackney Central,456993,4,2545
Grove Park,332064,3,1205
Grove Green,394289,6,1058
Grove,475945,5,4354
Greenwich West,558048,5,2773
Greenhill,347223,10,4315
Greenford Green,375106,4,1581
Greenford Broadway,298040,6,2050
Green Street West,334180,6,1936
Green Street East,313319,6,1504
Graveney,459886,7,704
Graveney,459886,7,1825
Grange,479123,6,1373
Gospel Oak,1027122,5,1266
Goresbrook,242088,5,1107
Gooshays,283229,8,1812
Goodmayes,308420,3,1632
Golders Green,711308,9,1817
Golborne,717743,11,1585
Glyndon,275206,5,1400
Gipsy Hill,448936,4,1499
Gascoigne,222753,1,1348
Garden Suburb,1319486,12,1323
Furzedown,499836,4,1094
Fulwell and Hampton Hill,588890,2,579
Fullwell,373415,6,1327
Fulham Reach,859641,14,1391
Fulham Broadway,1071364,5,1353
Fryent,412616,6,1335
Frognal and Fitzjohns,1664604,20,1006
Fortune Green,744831,4,1191
Fortis Green,889093,7,1036
Forest Hill,491322,7,1395
Forest Gate South,374947,7,2478
Forest Gate North,376396,10,1472
Forest,429449,3,1497
Finsbury Park,516798,4,4582
Finchley Church End,711187,11,1195
Figge's Marsh,301608,7,1507
Ferndale,549258,2,2996
Feltham West,266232,5,2043
Feltham North,313620,4,1137
Farnborough and Crofton,530075,6,951
Faraday,407987,3,1780
Falconwood and Welling,328948,4,1264
Fairlop,371814,4,1087
Fairfield,330277,26,1831
Fairfield,330277,26,7450
Evelyn,408601,6,1856
Erith,234617,2,1836
Enfield Lock,264802,4,1655
Enfield Highway,295260,8,1880
Endlebury,415582,3,695
Emerson Park,528257,6,559
Elthorne,508778,8,1954
Eltham West,392645,8,1096
Eltham South,370788,6,1688
Eltham North,394308,4,924
Elm Park,286712,4,938
Edmonton Green,262261,4,3569
Edgware,500583,14,991
Edgware,500583,14,3046
Eastcote and East Ruislip,549566,5,823
Eastbury,263742,3,1318
Eastbrook,287247,3,1362
East Wickham,309495,2,946
East Sheen,1082758,5,746
East Putney,700676,7,987
East Ham South,272317,4,1370
East Ham North,292876,4,966
East Ham Central,288873,3,3030
East Finchley,565535,6,1130
East Barnet,447321,6,1294
East Acton,487687,8,2786
Earlsfield,580620,5,1446
Earl's Court,1079349,3,1957
Ealing Common,668251,1,1578
Ealing Broadway,660923,13,2998
Dundonald,645601,2,643
Dudden Hill,610685,2,2151
Downham,301348,6,1554
Dormers Wells,303533,6,1044
Dollis Hill,453977,7,1554
De Beauvoir,680042,10,1292
Darwin,536416,3,315
Dalston,625354,6,2567
Dalgarno,754220,0,1028
Custom House,278048,6,2276
Crystal Palace,344583,1,1437
Crouch End,795915,6,1328
Crofton Park,495412,8,1236
Cricket Green,269700,8,1326
Crayford,248651,5,1784
Cray Valley West,330750,5,1749
Cray Valley East,296281,9,1837
Cranham,438831,2,644
Cranford,327999,3,1620
Cranbrook,432813,3,1132
Courtfield,2012314,7,1474
Coppetts,509198,7,1835
Copers Cope,453784,6,1661
Coombe Vale,697294,5,395
Coombe Hill,935334,7,729
Colville,1420742,4,2411
Colliers Wood,428524,1,1137
College Park and Old Oak,519259,6,1695
Colindale,334386,3,2148
Coldharbour,510790,5,3892
Cockfosters,724163,4,1458
Clock House,412158,4,965
Clissold,612867,4,1474
Cleveland,619066,4,1129
Clerkenwell,954084,3,2402
Clementswood,281223,4,1404
Clayhall,476208,9,1106
Clapham Town,816578,3,2840
Clapham Common,803954,5,1372
Churchill,1137519,5,1342
Church Street,615673,4,1940
Chiswick Riverside,866724,6,1100
Chiswick Homefields,1151061,3,1228
Chislehurst,579759,14,1294
Chingford Green,434900,4,1117
Childs Hill,840735,5,2779
Chessington South,364800,4,732
Chelsfield and Pratts Bottom,518337,8,685
Chelsea Riverside,2276378,0,1086
Cheam,589757,4,575
Chaucer,544126,6,1890
Chase,389821,9,1401
Charville,320359,8,875
Charlton,436276,7,1288
Chapel End,401184,5,1422
Chadwell Heath,282682,4,1208
Chadwell,281223,5,1025
Cazenove,484635,15,1071
Cavendish,442530,5,631
Cathall,389291,3,1500
Catford South,413856,6,1031
Carshalton South and Clockhouse,486433,6,512
Carshalton Central,384135,5,662
Cantelowes,764146,2,1469
Canons,556408,4,953
Canonbury,817610,3,1067
Cannon Hill,480915,2,427
Canning Town South,372837,5,2136
Canning Town North,290726,8,2763
Cann Hall,389944,3,1142
Canbury,622446,7,883
Canary Wharf,500757,0,2601
Campden,3161569,6,1401
Camden Town with Primrose Hill,1252737,8,5231
Camberwell Green,444072,11,2341
Caledonian,667798,5,3409
Bush Hill Park,429147,3,1071
Burnt Oak,323209,7,2054
Bunhill,793147,8,3307
Bryanston and Dorset Square,1332330,9,2776
Brunswick Park,489529,11,1257
Brunel,357007,6,1684
Bruce Grove,390974,2,1776
Brownswood,572165,3,791
Brooklands,241107,3,1683
Brondesbury Park,872874,5,1502
Brompton and Hans Town,2300648,0,3355
Bromley Town,381563,8,3724
Bromley South,374912,0,1313
Bromley North,348936,0,1474
Bromley Common and Keston,425022,6,1279
Brockley,430558,7,2296
Broad Green,267957,4,2778
Brixton Hill,498939,8,2312
Bridge,399203,2,1046
Brentford,552932,9,2019
Bowes,415405,3,1140
Bow West,592440,7,2325
Bow East,419229,2,2546
Bounds Green,434599,5,1999
Botwell,308527,13,1513
Boleyn,290663,3,1660
Bloomsbury,757092,3,6416
Blendon and Penhill,358332,2,792
Blackheath Westcombe,695638,8,1179
Blackheath,624326,8,1589
Blackfen and Lamorbey,351971,2,908
Bishop's,685357,5,5190
Biggin Hill,328512,2,624
